product_url,name,brand,price_raw,scraped_at,price
https://www.lamoda.kz/p/mp002xm0b981/clothes-demix-bryuki-sportivnye/,Брюки спортивные,Demix,6 894 ₸,2025-12-04T12:34:19.124804,6894.0
https://www.lamoda.kz/p/mp002xm0bwuz/clothes-fn-termobele-niz/,Термобелье низ WARM,FN,8 910 ₸,2025-12-04T12:34:19.194879,8910.0
https://www.lamoda.kz/p/rtlael710001/shoes-adidas-krossovki/,Кроссовки DURAMO RC2 M,adidas,44 700 ₸,2025-12-04T12:34:19.285206,44700.0
https://www.lamoda.kz/p/mp002xu0d858/accs-demix-povyazka/,Повязка,Demix,1 876 ₸,2025-12-04T12:34:19.339217,1876.0
https://www.lamoda.kz/p/mp002xm0bl8c/shoes-adidas-krossovki/,Кроссовки Runfalcon,adidas,43 990 ₸,2025-12-04T12:34:19.377462,43990.0
https://www.lamoda.kz/p/mp002xm0cixh/shoes-fila-krossovki/,Кроссовки SENSE SIMPLE,Fila,15 756 ₸,2025-12-04T12:34:19.444595,15756.0
https://www.lamoda.kz/p/mp002xm253ix/clothes-demix-taytsy/,Тайтсы,Demix,15 670 ₸,2025-12-04T12:34:19.477258,15670.0
https://www.lamoda.kz/p/rtlads456503/shoes-puma-krossovki/,Кроссовки Softride Carson,PUMA,32 190 ₸,2025-12-04T12:34:19.508510,32190.0
https://www.lamoda.kz/p/mp002xm0bc82/clothes-demix-futbolka-sportivnaya/,Футболка спортивная,Demix,3 759 ₸,2025-12-04T12:34:19.543616,3759.0
https://www.lamoda.kz/p/rtlaei740301/shoes-underarmour-krossovki/,Кроссовки UA Charged Commit TR 4,Under Armour,50 890 ₸,2025-12-04T12:34:19.573622,50890.0
https://www.lamoda.kz/p/rtlaer847601/clothes-underarmour-futbolka/,Футболка UA GL FOUNDATION UPDATE SS,Under Armour,14 144 ₸,2025-12-04T12:34:19.593293,14144.0
https://www.lamoda.kz/p/rtlaek316401/shoes-sonu-krossovki/,Кроссовки DASH MID RUNNING MEN SNEAKERS,Sonu,20 872 ₸,2025-12-04T12:34:19.624545,20872.0
https://www.lamoda.kz/p/mp002xm0boca/clothes-demix-vetrovka/,Ветровка,Demix,14 442 ₸,2025-12-04T12:34:19.680972,14442.0
https://www.lamoda.kz/p/rtlaej663902/clothes-sonu-bryuki-sportivnye/,Брюки спортивные,Sonu,24 300 ₸,2025-12-04T12:34:19.712223,24300.0
https://www.lamoda.kz/p/mp002xm0bwuj/clothes-fn-kostyum-sportivnyy/,Костюм спортивный Dynamic,FN,22 716 ₸,2025-12-04T12:34:19.743476,22716.0
https://www.lamoda.kz/p/rtlaee145702/shoes-newbalance-krossovki/,Кроссовки Hierro v9,New Balance,94 700 ₸,2025-12-04T12:34:19.779262,94700.0
https://www.lamoda.kz/p/rtlaee911702/clothes-puma-mayka-sportivnaya/,Майка спортивная M RUN Vel TANK (POLY),PUMA,11 215 ₸,2025-12-04T12:34:19.831643,11215.0
https://www.lamoda.kz/p/rtlaei474801/shoes-underarmour-krossovki/,Кроссовки,Under Armour,36 600 ₸,2025-12-04T12:34:19.862900,36600.0
https://www.lamoda.kz/p/rtlaes036201/shoes-adidas-krossovki/,Кроссовки RESPONSE RUNNER 2,adidas,37 000 ₸,2025-12-04T12:34:19.894151,37000.0
https://www.lamoda.kz/p/rtlaeq601401/clothes-adidas-mayka-sportivnaya/,Майка спортивная adi365 Tank M,adidas,38 300 ₸,2025-12-04T12:34:19.925403,38300.0
https://www.lamoda.kz/p/rtlaek420801/shoes-hokaoneone-krossovki/,Кроссовки Speedgoat 6,Hoka One One,91 632 ₸,2025-12-04T12:34:19.956655,91632.0
https://www.lamoda.kz/p/mp002xm0ctqv/clothes-adidas-futbolka-sportivnaya/,Футболка спортивная Adizero Essentials,adidas,22 990 ₸,2025-12-04T12:34:20.040140,22990.0
https://www.lamoda.kz/p/mp002xm0dhvy/clothes-demix-longsliv-sportivnyy/,Лонгслив спортивный,Demix,6 265 ₸,2025-12-04T12:34:20.071392,6265.0
https://www.lamoda.kz/p/mp002xm0bla5/clothes-demix-termobele-niz/,Термобелье низ,Demix,9 009 ₸,2025-12-04T12:34:20.112718,9009.0
https://www.lamoda.kz/p/rtlacv439601/shoes-reebok-krossovki/,Кроссовки REEBOK LITE PLUS 3,Reebok,19 690 ₸,2025-12-04T12:34:20.133396,19690.0
https://www.lamoda.kz/p/mp002xm0cxle/shoes-adidas-krossovki/,Кроссовки Duramo SL 2 Running,adidas,26 990 ₸,2025-12-04T12:34:20.187653,26990.0
https://www.lamoda.kz/p/mp002xu0d87g/clothes-demix-noski-pary/,Носки 2 пары,Demix,1 365 ₸,2025-12-04T12:34:20.258697,1365.0
https://www.lamoda.kz/p/rtlaet381601/shoes-asics-krossovki/,Кроссовки GEL-EXCITE 11,ASICS,52 635 ₸,2025-12-04T12:34:20.361119,52635.0
https://www.lamoda.kz/p/rtlaet975001/shoes-mizuno-krossovki/,Кроссовки WAVE RIDER GTX 3,Mizuno,114 495 ₸,2025-12-04T12:34:20.392360,114495.0
https://www.lamoda.kz/p/rtlaec734401/clothes-reebok-bryuki-sportivnye/,Брюки спортивные RUNNING PANT,Reebok,19 590 ₸,2025-12-04T12:34:20.428169,19590.0
https://www.lamoda.kz/p/mp002xm01hx3/clothes-profit-bryuki-sportivnye/,Брюки спортивные флисовые,Profit,18 948 ₸,2025-12-04T12:34:20.445835,18948.0
https://www.lamoda.kz/p/rtlaem792301/shoes-adidas-krossovki/,Кроссовки GALAXY 7 M,adidas,30 090 ₸,2025-12-04T12:34:20.477087,30090.0
https://www.lamoda.kz/p/mp002xm0bfaf/shoes-fila-krossovki/,Кроссовки MEGALITE 6.0,Fila,15 318 ₸,2025-12-04T12:34:20.540676,15318.0
https://www.lamoda.kz/p/rtlaem627601/clothes-adidasy3-vetrovka/,Ветровка M RUNNING JCKT,adidas Y-3,77 390 ₸,2025-12-04T12:34:20.555712,77390.0
https://www.lamoda.kz/p/rtlaer485101/clothes-underarmour-bryuki-sportivnye/,Брюки спортивные UA StormCyclone Pant,Under Armour,44 200 ₸,2025-12-04T12:34:20.586963,44200.0
